id,avis,note,reponse_proprietaire
avis-036,"Quick and tasty. I rate service as 5 stars but it's not for everyone haha
I've known these guys for years and it was great to be back after moving away from Montréal 12 years ago!!",5,"thanks for the review Hugo,coming back to montreal and coming to la lignerouge maybe will make you stay in montreal!!!!"
avis-037,"Unique and very tasty, delicious food always for the best price in town, sometimes you wait in line too much time better be prepared for it but its worth it, best porc!

LGTBQ friendly, please be respectfull when kids are around the area.

Everybody is wellcome.",4,"thanks for the stars Dvg, tell it like it is brother!!!!"
avis-038,Cash only... horrible,1,"we'd liked to know what went wrong,, maybe we could fix it
thanks for the comment"
avis-039,Just went here to get fries got a medium and it was filling staff are super friendly I will be coming back here to try other stuff,4,thanks glad to hear you liked our fries
avis-040,La bouffe est excellente le décor laisse a désirez les employés pas trop accueillant mais les gyro sont délicieux ainsi que les frites,4,"We take that as a complement, it’s hard to work in a restaurant 
Thanks for the stars and the  we’ll send out the memo"
avis-041,"Amazing gyro, shawarma, etc. And the fries are truly great.

And for the people whining about the cook in the reviews... I honestly think it's part of the charm 😂",5,thanks foe the stars and the comment
avis-042,"Le gyros est le meilleur que j'ai mangé ! Les frites sont très bonnes aussi.
J'y retourne aussi souvent que possible !
Ne vous attendez pas à un décor 5 étoiles par contre. Une visite vaut la peine.",5,Merci marc-andre
avis-043,Food is good. Been a customer for a while,5,Thanks for the stars the van Tran
avis-044,"Absolutely delicious kebabs! The chickenwas tender, the veggies were fresh, and the sauce was just perfect. Quick service and friendly staff too. Will definitely be coming back for more! Make sure you bring cash tho!

(CASH ONLY)",4,Thanks for the stars and the kind words— the staff
avis-045,Really good doner and food. They only take cash. One of the only places that closes late at night if you ever need to grab something to eat. The worker may be rude but you don't go there for the service or vibe. Just the food,5,"Thanks Michael, that’s so true"
avis-046,Le gravy goute la soupe au tomate mais l’atmosphère est incroyable pis des bons doner,5,Thanks for the stars and the comment  Romain
avis-047,"J'ai été pour la première fois à la ligne rouge suite à la recommandation d'un ami et après la réouverture du restaurant. Le menu est diversifié pour un fast food de ce type pour tous les budgets. J'ai opté pour une Poutine à la viande. La Poutine était vraiment bonne. Je recommande ce restaurant proche par le métro Jean-Talon. PS Ils prennent seulement de l'argent comptant.

I went for the first time eat at ""la ligne rouge"" after the recommendation of a friend of mine and the reopening of this place. The menu offers a lot of options for a good range of budget. I opted for meat poutine. It was really good. I recommend this place. Moreover, it's near of Jean-Talon station.
Ps Cash only",4,"Thanks for the stars Jean, we are glad you liked us"
avis-048,Ça vaut le détour super bon ;),5,Merci Marlene
avis-049,My family has Been going there for 30yrs !!!cheers to my brother who loves to eat poutine . I ordered the trio chicken doner with cayenne pepper lol  and I replace my fries 🍟 for a poutine . I couldn’t finished half of  it…. I was full. These men works hard . Congrats,5,"Thanks for the stars and the review, hope to see you again soon"
avis-050,Love love love. So happy they're opened again.,5,Thanks for the stars and the review you are the best
avis-051,"C'est fou comment ils sont bêtes avec les clients, mais c'est vraiment bon.",5,Thanks for the stars Antoine
avis-052,"5* for the food, 3* for the service & ambience.
There's this one guy... rude for no reason and has that ""I'm always mad"" resting face. The others are very friendly and welcoming.",5,"Thanks for the stars, sorry about that guy but good help is hard to employ"
avis-053,I wonder if someone else can do the same. This is the place to go for a piece of Greece on your plate. I just happen to like it for the last 35 years and counting…,5,Thanks for the stars and the review S.I.
avis-054,"Service from the all 3 employees were impeccable.
Super simple give your order, tell them if it’s all dressed or not & bam get & pay for your food. Mind you their food beats, Marathons, Village grec & Marvyns. I had ordered a #1(1 Gyro porc pita trio) & a #7(2 Gyro Porc Pitas). I also got a comfortable portion of fries with the trio for my girlfriend & I. I’ll be definitely be returning & bringing family and friends.",5,Thanks for the stars and the review Stanson we’re happy you had a good time .see you soon
avis-055,"Great “hole in the wall” spot in Montreal where the locals know that the food is good and keep on going back. There’s a lot of comments about the service. Personally, you don’t come here for the decor or the service. You come here for the food. If you are expecting a service with a smile, go eat at a restaurant. Just go in grab what you need and leave. In the end, you will have delicious tasting food. Unless someone recommended this place to you, you would probably never walk in. The haters can hate, but there’s always a line, so the food is good and in the end, that’s all that matters. Combo #1, which is a pork pita with a generous portion of fries and drink with a garlic dipping sauce is popular. So is combo #7 which is 2 pork pita. Cash only, so if you don’t have cash, go get some before heading in. There’s also little to no parking and the wait could be long due to the popularity. There are tables inside if you want to eat there, but you order and then get your order and sit. This is more a take out join than a restaurant. I would recommend it for the food.",5,Thanks bobby for the stars and kind words we really appreciate your comments and as long as la lignerouge is open we will try to make everyone happy thanks again
avis-056,Une institution!,5,Merci Mathieu!!!!
avis-057,"La nourriture est savoureuse et delicieuse, les meuilleur souvlaki de la ville 10/10, mais le service à la clientèle est a travailler, les employeurs ont toujours une attitude derranger, peu accueillante. J'y retourne quand meme à chaque fois, mais l'experience pourrait etre meilleurs.",4,"Merci pour les étoiles Jennifer on va essayer de correcter notre attitude, mais des fois c’est difficile"
